Zeitstempel,Wert
01/01/2024,200
01/01/2024 00:15,195
01/01/2024 00:30,195
01/01/2024 00:45,180
01/01/2024 01:00,180
01/01/2024 01:15,185
01/01/2024 01:30,180
01/01/2024 01:45,185
01/01/2024 02:00,190
01/01/2024 02:15,180
01/01/2024 02:30,180
01/01/2024 02:45,190
01/01/2024 03:00,185
01/01/2024 03:15,175
01/01/2024 03:30,180
01/01/2024 03:45,175
01/01/2024 04:00,175
01/01/2024 04:15,175
01/01/2024 04:30,170
01/01/2024 04:45,170
01/01/2024 05:00,170
01/01/2024 05:15,175
01/01/2024 05:30,165
01/01/2024 05:45,175
01/01/2024 06:00,170
01/01/2024 06:15,175
01/01/2024 06:30,170
01/01/2024 06:45,185
01/01/2024 07:00,180
01/01/2024 07:15,160
01/01/2024 07:30,170
01/01/2024 07:45,175
01/01/2024 08:00,185
01/01/2024 08:15,170.7
01/01/2024 08:30,191
01/01/2024 08:45,203.6
01/01/2024 09:00,204
01/01/2024 09:15,218.2
01/01/2024 09:30,234.3
01/01/2024 09:45,249.6
01/01/2024 10:00,286.2
01/01/2024 10:15,333.6
01/01/2024 10:30,329.3
01/01/2024 10:45,349.2
01/01/2024 11:00,361.4
01/01/2024 11:15,363
01/01/2024 11:30,378.2
01/01/2024 11:45,386.4
01/01/2024 12:00,398
01/01/2024 12:15,411.6
01/01/2024 12:30,421.9
01/01/2024 12:45,424.6
01/01/2024 13:00,431.3
01/01/2024 13:15,430.5
01/01/2024 13:30,429.2
01/01/2024 13:45,422.5
01/01/2024 14:00,424.6
01/01/2024 14:15,418.8
01/01/2024 14:30,427.9
01/01/2024 14:45,433.9
01/01/2024 15:00,433.4
01/01/2024 15:15,447
01/01/2024 15:30,438
01/01/2024 15:45,440.6
01/01/2024 16:00,445
01/01/2024 16:15,435
01/01/2024 16:30,430
01/01/2024 16:45,420
01/01/2024 17:00,430
01/01/2024 17:15,430
01/01/2024 17:30,425
01/01/2024 17:45,385
01/01/2024 18:00,395
01/01/2024 18:15,390
01/01/2024 18:30,370
01/01/2024 18:45,365
01/01/2024 19:00,335
01/01/2024 19:15,305
01/01/2024 19:30,265
01/01/2024 19:45,280
01/01/2024 20:00,280
01/01/2024 20:15,270
01/01/2024 20:30,260
01/01/2024 20:45,225
01/01/2024 21:00,225
01/01/2024 21:15,210
01/01/2024 21:30,205
01/01/2024 21:45,205
01/01/2024 22:00,195
01/01/2024 22:15,195
01/01/2024 22:30,195
01/01/2024 22:45,190
01/01/2024 23:00,185
01/01/2024 23:15,185
01/01/2024 23:30,180
01/01/2024 23:45,180
02/01/2024,200
02/01/2024 00:15,185
02/01/2024 00:30,180
02/01/2024 00:45,185
02/01/2024 01:00,190
02/01/2024 01:15,205
02/01/2024 01:30,185
02/01/2024 01:45,195
02/01/2024 02:00,190
02/01/2024 02:15,180
02/01/2024 02:30,185
02/01/2024 02:45,185
02/01/2024 03:00,175
02/01/2024 03:15,180
02/01/2024 03:30,175
02/01/2024 03:45,180
02/01/2024 04:00,185
02/01/2024 04:15,175
02/01/2024 04:30,180
02/01/2024 04:45,170
02/01/2024 05:00,170
02/01/2024 05:15,190
02/01/2024 05:30,175
02/01/2024 05:45,175
02/01/2024 06:00,175
02/01/2024 06:15,170
02/01/2024 06:30,175
02/01/2024 06:45,190
02/01/2024 07:00,180
02/01/2024 07:15,185
02/01/2024 07:30,180
02/01/2024 07:45,190
02/01/2024 08:00,195
02/01/2024 08:15,185.1
02/01/2024 08:30,187.1
02/01/2024 08:45,186.8
02/01/2024 09:00,185.9
02/01/2024 09:15,208.4
02/01/2024 09:30,192.4
02/01/2024 09:45,197.4
02/01/2024 10:00,211.2
02/01/2024 10:15,203.5
02/01/2024 10:30,212.5
02/01/2024 10:45,210.6
02/01/2024 11:00,205.7
02/01/2024 11:15,199.5
02/01/2024 11:30,216.5
02/01/2024 11:45,234.7
02/01/2024 12:00,227
02/01/2024 12:15,227.6
02/01/2024 12:30,227.4
02/01/2024 12:45,234
02/01/2024 13:00,240
02/01/2024 13:15,231.7
02/01/2024 13:30,232
02/01/2024 13:45,215.2
02/01/2024 14:00,224.3
02/01/2024 14:15,230.9
02/01/2024 14:30,233.6
02/01/2024 14:45,224.1
02/01/2024 15:00,217.9
02/01/2024 15:15,224.3
02/01/2024 15:30,224.7
02/01/2024 15:45,215.1
02/01/2024 16:00,205
02/01/2024 16:15,215
02/01/2024 16:30,230
02/01/2024 16:45,220
02/01/2024 17:00,230
02/01/2024 17:15,240
02/01/2024 17:30,225
02/01/2024 17:45,220
02/01/2024 18:00,215
02/01/2024 18:15,205
02/01/2024 18:30,205
02/01/2024 18:45,205
02/01/2024 19:00,205
02/01/2024 19:15,205
02/01/2024 19:30,215
02/01/2024 19:45,200
02/01/2024 20:00,210
02/01/2024 20:15,205
02/01/2024 20:30,205
02/01/2024 20:45,200
02/01/2024 21:00,200
02/01/2024 21:15,195
02/01/2024 21:30,185
02/01/2024 21:45,190
02/01/2024 22:00,190
02/01/2024 22:15,180
02/01/2024 22:30,175
02/01/2024 22:45,185
02/01/2024 23:00,180
02/01/2024 23:15,180
02/01/2024 23:30,180
02/01/2024 23:45,180
03/01/2024,185
03/01/2024 00:15,185
03/01/2024 00:30,185
03/01/2024 00:45,180
03/01/2024 01:00,195
03/01/2024 01:15,190
03/01/2024 01:30,190
03/01/2024 01:45,185
03/01/2024 02:00,190
03/01/2024 02:15,185
03/01/2024 02:30,180
03/01/2024 02:45,185
03/01/2024 03:00,180
03/01/2024 03:15,185
03/01/2024 03:30,180
03/01/2024 03:45,170
03/01/2024 04:00,175
03/01/2024 04:15,175
03/01/2024 04:30,165
03/01/2024 04:45,170
03/01/2024 05:00,175
03/01/2024 05:15,170
03/01/2024 05:30,170
03/01/2024 05:45,170
03/01/2024 06:00,175
03/01/2024 06:15,185
03/01/2024 06:30,170
03/01/2024 06:45,180
03/01/2024 07:00,190
03/01/2024 07:15,195
03/01/2024 07:30,205
03/01/2024 07:45,205
03/01/2024 08:00,225
03/01/2024 08:15,240
03/01/2024 08:30,258.7
03/01/2024 08:45,273.9
03/01/2024 09:00,325.3
03/01/2024 09:15,357.6
03/01/2024 09:30,374.9
03/01/2024 09:45,393.4
03/01/2024 10:00,418
03/01/2024 10:15,449.1
03/01/2024 10:30,487.3
03/01/2024 10:45,506.7
03/01/2024 11:00,530.8
03/01/2024 11:15,523.8
03/01/2024 11:30,531
03/01/2024 11:45,579.2
03/01/2024 12:00,584.6
03/01/2024 12:15,557.2
03/01/2024 12:30,557.8
03/01/2024 12:45,582.2
03/01/2024 13:00,573.8
03/01/2024 13:15,562.7
03/01/2024 13:30,572.7
03/01/2024 13:45,592.4
03/01/2024 14:00,587.6
03/01/2024 14:15,601.3
03/01/2024 14:30,618.3
03/01/2024 14:45,589.1
03/01/2024 15:00,576.4
03/01/2024 15:15,575.6
03/01/2024 15:30,555
03/01/2024 15:45,570
03/01/2024 16:00,575
03/01/2024 16:15,580
03/01/2024 16:30,580
03/01/2024 16:45,560
03/01/2024 17:00,590
03/01/2024 17:15,555
03/01/2024 17:30,580
03/01/2024 17:45,580
03/01/2024 18:00,565
03/01/2024 18:15,570
03/01/2024 18:30,540
03/01/2024 18:45,535
03/01/2024 19:00,515
03/01/2024 19:15,460
03/01/2024 19:30,405
03/01/2024 19:45,350
03/01/2024 20:00,320
03/01/2024 20:15,280
03/01/2024 20:30,275
03/01/2024 20:45,255
03/01/2024 21:00,245
03/01/2024 21:15,220
03/01/2024 21:30,220
03/01/2024 21:45,215
03/01/2024 22:00,215
03/01/2024 22:15,200
03/01/2024 22:30,195
03/01/2024 22:45,190
03/01/2024 23:00,190
03/01/2024 23:15,190
03/01/2024 23:30,185
03/01/2024 23:45,195
04/01/2024,190
04/01/2024 00:15,190
04/01/2024 00:30,195
04/01/2024 00:45,200
04/01/2024 01:00,190
04/01/2024 01:15,195
04/01/2024 01:30,195
04/01/2024 01:45,195
04/01/2024 02:00,200
