Datum;Von;Bis;kW;;;
01.01.2023 00:15;00:00;00:15;200;;01.01.2023 00:00;200
01.01.2023 00:30;;;195;;01.01.2023 00:15;195
01.01.2023 00:45;;;195;;01.01.2023 00:30;195
01.01.2023 01:00;;;180;;01.01.2023 00:45;180
01.01.2023 01:15;;;180;;01.01.2023 01:00;180
01.01.2023 01:30;;;185;;01.01.2023 01:15;185
01.01.2023 01:45;;;180;;01.01.2023 01:30;180
01.01.2023 02:00;;;185;;01.01.2023 01:45;185
01.01.2023 02:15;;;190;;01.01.2023 02:00;190
01.01.2023 02:30;;;180;;01.01.2023 02:15;180
01.01.2023 02:45;;;180;;01.01.2023 02:30;180
01.01.2023 03:00;;;190;;01.01.2023 02:45;190
01.01.2023 03:15;;;185;;01.01.2023 03:00;185
01.01.2023 03:30;;;175;;01.01.2023 03:15;175
01.01.2023 03:45;;;180;;01.01.2023 03:30;180
01.01.2023 04:00;;;175;;01.01.2023 03:45;175
01.01.2023 04:15;;;175;;01.01.2023 04:00;175
01.01.2023 04:30;;;175;;01.01.2023 04:15;175
01.01.2023 04:45;;;170;;01.01.2023 04:30;170
01.01.2023 05:00;;;170;;01.01.2023 04:45;170
01.01.2023 05:15;;;170;;01.01.2023 05:00;170
01.01.2023 05:30;;;175;;01.01.2023 05:15;175
01.01.2023 05:45;;;165;;01.01.2023 05:30;165
01.01.2023 06:00;;;175;;01.01.2023 05:45;175
01.01.2023 06:15;;;170;;01.01.2023 06:00;170
01.01.2023 06:30;;;175;;01.01.2023 06:15;175
01.01.2023 06:45;;;170;;01.01.2023 06:30;170
01.01.2023 07:00;;;185;;01.01.2023 06:45;185
01.01.2023 07:15;;;180;;01.01.2023 07:00;180
01.01.2023 07:30;;;160;;01.01.2023 07:15;160
01.01.2023 07:45;;;170;;01.01.2023 07:30;170
01.01.2023 08:00;;;175;;01.01.2023 07:45;175
01.01.2023 08:15;;;185;;01.01.2023 08:00;185
01.01.2023 08:30;;;170,7;;01.01.2023 08:15;170,7
01.01.2023 08:45;;;191;;01.01.2023 08:30;191
01.01.2023 09:00;;;203,6;;01.01.2023 08:45;203,6
