Datum;Zeitzone;von;bis;Einheit;AEP-Schätzer;Status
01.01.2024;CET;00:00;00:15;EUR/MWh;75,00;0,00
01.01.2024;CET;00:15;00:30;EUR/MWh;78,45;0,00
01.01.2024;CET;00:30;00:45;EUR/MWh;82,89;0,00
01.01.2024;CET;00:45;01:00;EUR/MWh;75,00;0,00
01.01.2024;CET;01:00;01:15;EUR/MWh;77,52;0,00
01.01.2024;CET;01:15;01:30;EUR/MWh;80,51;0,00
01.01.2024;CET;01:30;01:45;EUR/MWh;75,00;0,00
01.01.2024;CET;01:45;02:00;EUR/MWh;-0,02;2,00
01.01.2024;CET;02:00;02:15;EUR/MWh;89,37;0,00
01.01.2024;CET;02:15;02:30;EUR/MWh;88,57;0,00
01.01.2024;CET;02:30;02:45;EUR/MWh;84,36;0,00
01.01.2024;CET;02:45;03:00;EUR/MWh;75,00;0,00
01.01.2024;CET;03:00;03:15;EUR/MWh;95,78;0,00
01.01.2024;CET;03:15;03:30;EUR/MWh;100,57;0,00
01.01.2024;CET;03:30;03:45;EUR/MWh;75,00;0,00
01.01.2024;CET;03:45;04:00;EUR/MWh;14,09;2,00
01.01.2024;CET;04:00;04:15;EUR/MWh;45,00;0,00
01.01.2024;CET;04:15;04:30;EUR/MWh;12,52;0,00
01.01.2024;CET;04:30;04:45;EUR/MWh;6,32;0,00
01.01.2024;CET;04:45;05:00;EUR/MWh;76,18;0,00
01.01.2024;CET;05:00;05:15;EUR/MWh;101,26;0,00
01.01.2024;CET;05:15;05:30;EUR/MWh;75,54;0,00
01.01.2024;CET;05:30;05:45;EUR/MWh;102,71;0,00
01.01.2024;CET;05:45;06:00;EUR/MWh;104,90;0,00
01.01.2024;CET;06:00;06:15;EUR/MWh;-9,45;0,00
01.01.2024;CET;06:15;06:30;EUR/MWh;105,22;0,00
01.01.2024;CET;06:30;06:45;EUR/MWh;75,00;0,00
01.01.2024;CET;06:45;07:00;EUR/MWh;14,35;2,00
01.01.2024;CET;07:00;07:15;EUR/MWh;9,00;2,00
01.01.2024;CET;07:15;07:30;EUR/MWh;31,43;2,00
01.01.2024;CET;07:30;07:45;EUR/MWh;-59,08;0,00
01.01.2024;CET;07:45;08:00;EUR/MWh;-59,14;0,00
01.01.2024;CET;08:00;08:15;EUR/MWh;-58,85;0,00
01.01.2024;CET;08:15;08:30;EUR/MWh;-57,69;0,00
01.01.2024;CET;08:30;08:45;EUR/MWh;-47,53;0,00
01.01.2024;CET;08:45;09:00;EUR/MWh;-46,41;0,00
01.01.2024;CET;09:00;09:15;EUR/MWh;-29,80;0,00
01.01.2024;CET;09:15;09:30;EUR/MWh;-2,65;0,00
01.01.2024;CET;09:30;09:45;EUR/MWh;77,48;0,00
01.01.2024;CET;09:45;10:00;EUR/MWh;-37,25;0,00
01.01.2024;CET;10:00;10:15;EUR/MWh;76,90;0,00
01.01.2024;CET;10:15;10:30;EUR/MWh;-49,81;0,00
01.01.2024;CET;10:30;10:45;EUR/MWh;-60,51;0,00
01.01.2024;CET;10:45;11:00;EUR/MWh;-70,66;0,00
01.01.2024;CET;11:00;11:15;EUR/MWh;-0,05;2,00
01.01.2024;CET;11:15;11:30;EUR/MWh;-1,06;2,00
01.01.2024;CET;11:30;11:45;EUR/MWh;-35,82;0,00
01.01.2024;CET;11:45;12:00;EUR/MWh;-55,81;0,00
01.01.2024;CET;12:00;12:15;EUR/MWh;-43,57;0,00
01.01.2024;CET;12:15;12:30;EUR/MWh;-43,26;0,00
01.01.2024;CET;12:30;12:45;EUR/MWh;-48,68;0,00
01.01.2024;CET;12:45;13:00;EUR/MWh;49,00;0,00
01.01.2024;CET;13:00;13:15;EUR/MWh;104,84;0,00
01.01.2024;CET;13:15;13:30;EUR/MWh;118,96;0,00
01.01.2024;CET;13:30;13:45;EUR/MWh;99,01;0,00
01.01.2024;CET;13:45;14:00;EUR/MWh;116,20;0,00
01.01.2024;CET;14:00;14:15;EUR/MWh;114,19;0,00
01.01.2024;CET;14:15;14:30;EUR/MWh;135,05;0,00
