Datum;Zeitzone;von;bis;Einheit;AEP Modul 1;AEP Modul 2;AEP Modul 3
01.01.2024;CET;00:00;00:15;EUR/MWh;75,15;6,15;N.E.
01.01.2024;CET;00:15;00:30;EUR/MWh;78,53;38,89;N.E.
01.01.2024;CET;00:30;00:45;EUR/MWh;83,17;7,11;N.E.
01.01.2024;CET;00:45;01:00;EUR/MWh;75,15;9,67;N.E.
01.01.2024;CET;01:00;01:15;EUR/MWh;79,13;1,52;N.E.
01.01.2024;CET;01:15;01:30;EUR/MWh;80,89;6,51;N.E.
01.01.2024;CET;01:30;01:45;EUR/MWh;75,15;6,38;N.E.
01.01.2024;CET;01:45;02:00;EUR/MWh;75,15;-0,46;N.E.
01.01.2024;CET;02:00;02:15;EUR/MWh;89,45;21,78;N.E.
01.01.2024;CET;02:15;02:30;EUR/MWh;88,67;12,78;N.E.
01.01.2024;CET;02:30;02:45;EUR/MWh;85,15;10,88;N.E.
01.01.2024;CET;02:45;03:00;EUR/MWh;75,15;8,01;N.E.
01.01.2024;CET;03:00;03:15;EUR/MWh;95,74;21,24;N.E.
01.01.2024;CET;03:15;03:30;EUR/MWh;100,87;16,98;N.E.
01.01.2024;CET;03:30;03:45;EUR/MWh;75,15;17,74;N.E.
01.01.2024;CET;03:45;04:00;EUR/MWh;75,15;14,52;N.E.
01.01.2024;CET;04:00;04:15;EUR/MWh;75,15;26,16;N.E.
01.01.2024;CET;04:15;04:30;EUR/MWh;2,23;16,56;N.E.
01.01.2024;CET;04:30;04:45;EUR/MWh;1,66;10,50;N.E.
01.01.2024;CET;04:45;05:00;EUR/MWh;88,52;5,11;N.E.
01.01.2024;CET;05:00;05:15;EUR/MWh;101,29;15,23;N.E.
01.01.2024;CET;05:15;05:30;EUR/MWh;96,26;16,94;N.E.
01.01.2024;CET;05:30;05:45;EUR/MWh;102,33;55,24;N.E.
01.01.2024;CET;05:45;06:00;EUR/MWh;105,58;38,57;N.E.
01.01.2024;CET;06:00;06:15;EUR/MWh;7,74;-11,00;N.E.
01.01.2024;CET;06:15;06:30;EUR/MWh;113,55;3,28;N.E.
01.01.2024;CET;06:30;06:45;EUR/MWh;-55,87;5,01;N.E.
01.01.2024;CET;06:45;07:00;EUR/MWh;75,15;13,48;N.E.
01.01.2024;CET;07:00;07:15;EUR/MWh;75,15;8,84;N.E.
01.01.2024;CET;07:15;07:30;EUR/MWh;75,15;31,52;N.E.
01.01.2024;CET;07:30;07:45;EUR/MWh;-59,16;27,75;N.E.
01.01.2024;CET;07:45;08:00;EUR/MWh;-59,17;27,66;N.E.
01.01.2024;CET;08:00;08:15;EUR/MWh;-58,92;-5,02;N.E.
01.01.2024;CET;08:15;08:30;EUR/MWh;-57,68;-19,13;N.E.
01.01.2024;CET;08:30;08:45;EUR/MWh;-42,74;-8,15;N.E.
01.01.2024;CET;08:45;09:00;EUR/MWh;-38,94;5,84;N.E.
01.01.2024;CET;09:00;09:15;EUR/MWh;-20,40;-1,77;N.E.
01.01.2024;CET;09:15;09:30;EUR/MWh;4,99;-6,92;N.E.
01.01.2024;CET;09:30;09:45;EUR/MWh;84,90;-8,54;N.E.
01.01.2024;CET;09:45;10:00;EUR/MWh;-29,21;-19,92;N.E.
01.01.2024;CET;10:00;10:15;EUR/MWh;84,35;8,63;N.E.
01.01.2024;CET;10:15;10:30;EUR/MWh;-47,64;-1,85;N.E.
01.01.2024;CET;10:30;10:45;EUR/MWh;-60,49;-4,40;N.E.
01.01.2024;CET;10:45;11:00;EUR/MWh;-68,86;-33,63;N.E.
01.01.2024;CET;11:00;11:15;EUR/MWh;75,15;-0,94;N.E.
01.01.2024;CET;11:15;11:30;EUR/MWh;75,15;-1,87;N.E.
01.01.2024;CET;11:30;11:45;EUR/MWh;-33,41;2,63;N.E.
01.01.2024;CET;11:45;12:00;EUR/MWh;-55,75;-0,31;N.E.
01.01.2024;CET;12:00;12:15;EUR/MWh;-38,46;-7,97;N.E.
01.01.2024;CET;12:15;12:30;EUR/MWh;-42,23;6,85;N.E.
01.01.2024;CET;12:30;12:45;EUR/MWh;-46,02;-6,51;N.E.
01.01.2024;CET;12:45;13:00;EUR/MWh;83,07;-0,99;N.E.
01.01.2024;CET;13:00;13:15;EUR/MWh;104,64;-11,18;N.E.
01.01.2024;CET;13:15;13:30;EUR/MWh;119,00;1,19;N.E.
01.01.2024;CET;13:30;13:45;EUR/MWh;99,71;8,75;N.E.
01.01.2024;CET;13:45;14:00;EUR/MWh;116,19;18,70;N.E.
01.01.2024;CET;14:00;14:15;EUR/MWh;114,32;25,15;N.E.
01.01.2024;CET;14:15;14:30;EUR/MWh;135,09;77,35;N.E.
01.01.2024;CET;14:30;14:45;EUR/MWh;129,08;98,13;N.E.
01.01.2024;CET;14:45;15:00;EUR/MWh;127,84;103,51;N.E.
