Datum;Zeitzone;von;bis;Einheit;50Hertz (Positiv);Amprion (Positiv);TenneT TSO (Positiv);TransnetBW (Positiv);Deutschland (Positiv);50Hertz (Negativ);Amprion (Negativ);TenneT TSO (Negativ);TransnetBW (Negativ);Deutschland (Negativ)
01.01.2024;CET;00:00;00:15;MW;0,000;0,000;0,000;0,000;0,000;16,720;20,912;16,388;3,852;57,872
01.01.2024;CET;00:15;00:30;MW;5,712;7,140;5,596;1,316;19,764;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;00:30;00:45;MW;0,000;0,000;0,000;0,000;0,000;6,068;7,588;5,948;1,400;21,004
01.01.2024;CET;00:45;01:00;MW;0,000;0,000;0,000;0,000;0,000;7,280;9,104;7,136;1,676;25,196
01.01.2024;CET;01:00;01:15;MW;16,464;20,588;16,136;3,792;56,980;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;01:15;01:30;MW;0,000;0,000;0,000;0,000;0,000;16,652;20,828;16,320;3,836;57,636
01.01.2024;CET;01:30;01:45;MW;0,000;0,000;0,000;0,000;0,000;0,932;1,164;0,912;0,216;3,224
01.01.2024;CET;01:45;02:00;MW;0,000;0,000;0,000;0,000;0,000;22,200;27,760;21,756;5,116;76,832
01.01.2024;CET;02:00;02:15;MW;47,608;59,536;46,656;10,972;164,772;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;02:15;02:30;MW;0,000;0,000;0,000;0,000;0,000;22,168;27,720;21,724;5,108;76,720
01.01.2024;CET;02:30;02:45;MW;0,000;0,000;0,000;0,000;0,000;2,080;2,600;2,040;0,480;7,200
01.01.2024;CET;02:45;03:00;MW;5,680;7,104;5,568;1,308;19,660;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;03:00;03:15;MW;4,616;5,772;4,524;1,064;15,976;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;03:15;03:30;MW;0,000;0,000;0,000;0,000;0,000;10,836;13,552;10,620;2,496;37,504
01.01.2024;CET;03:30;03:45;MW;0,000;0,000;0,000;0,000;0,000;11,232;14,048;11,008;2,588;38,876
01.01.2024;CET;03:45;04:00;MW;0,000;0,000;0,000;0,000;0,000;22,900;28,640;22,444;5,276;79,260
01.01.2024;CET;04:00;04:15;MW;26,076;32,708;25,632;6,028;90,444;0,000;0,000;0,000;0,000;0,000
01.01.2024;CET;04:15;04:30;MW;0,000;0,000;0,000;0,000;0,000;6,824;8,560;6,708;1,576;23,668
01.01.2024;CET;04:30;04:45;MW;0,000;0,000;0,000;0,000;0,000;10,868;13,632;10,684;2,512;37,696
01.01.2024;CET;04:45;05:00;MW;0,000;0,000;0,000;0,000;0,000;14,216;17,836;13,976;3,288;49,316
01.01.2024;CET;05:00;05:15;MW;0,000;0,000;0,000;0,000;0,000;8,572;10,756;8,428;1,980;29,736
01.01.2024;CET;05:15;05:30;MW;0,000;0,000;0,000;0,000;0,000;19,552;24,528;19,220;4,520;67,820
01.01.2024;CET;05:30;05:45;MW;0,000;0,000;0,000;0,000;0,000;8,568;10,748;8,420;1,980;29,716
01.01.2024;CET;05:45;06:00;MW;0,000;0,000;0,000;0,000;0,000;14,488;18,176;14,244;3,348;50,256
