Datum;Zeitzone;von;bis;Einheit;AEP Modul 1;AEP Modul 2;AEP Modul 3
2024-01-01;CET;00:00;00:15;EUR/MWh;75,15;N.E.;N.E.
2024-01-01;CET;00:15;00:30;EUR/MWh;78,53;N.E.;N.E.
2024-01-01;CET;00:30;00:45;EUR/MWh;83,17;N.E.;N.E.
2024-01-01;CET;00:45;01:00;EUR/MWh;75,15;N.E.;N.E.
2024-01-01;CET;01:00;01:15;EUR/MWh;79,13;N.E.;N.E.
2024-01-01;CET;01:15;01:30;EUR/MWh;80,89;N.E.;N.E.
2024-01-01;CET;01:30;01:45;EUR/MWh;75,15;N.E.;N.E.
2024-01-01;CET;01:45;02:00;EUR/MWh;75,15;N.E.;N.E.
2024-01-01;CET;02:00;02:15;EUR/MWh;89,45;N.E.;N.E.
2024-01-01;CET;02:15;02:30;EUR/MWh;88,67;N.E.;N.E.
2024-01-01;CET;02:30;02:45;EUR/MWh;85,15;N.E.;N.E.
2024-01-01;CET;02:45;03:00;EUR/MWh;75,15;N.E.;N.E.
2024-01-01;CET;03:00;03:15;EUR/MWh;95,74;N.E.;N.E.
2024-01-01;CET;03:15;03:30;EUR/MWh;100,87;N.E.;N.E.
2024-01-01;CET;03:30;03:45;EUR/MWh;75,15;N.E.;N.E.
2024-01-01;CET;03:45;04:00;EUR/MWh;75,15;N.E.;N.E.
2024-01-01;CET;04:00;04:15;EUR/MWh;75,15;N.E.;N.E.
2024-01-01;CET;04:15;04:30;EUR/MWh;2,23;N.E.;N.E.
2024-01-01;CET;04:30;04:45;EUR/MWh;1,66;N.E.;N.E.
2024-01-01;CET;04:45;05:00;EUR/MWh;88,52;N.E.;N.E.
2024-01-01;CET;05:00;05:15;EUR/MWh;101,29;N.E.;N.E.
2024-01-01;CET;05:15;05:30;EUR/MWh;96,26;N.E.;N.E.
2024-01-01;CET;05:30;05:45;EUR/MWh;102,33;N.E.;N.E.
2024-01-01;CET;05:45;06:00;EUR/MWh;105,58;N.E.;N.E.
2024-01-01;CET;06:00;06:15;EUR/MWh;N.E.;-11,00;N.E.
2024-01-01;CET;06:15;06:30;EUR/MWh;113,55;N.E.;N.E.
2024-01-01;CET;06:30;06:45;EUR/MWh;-55,87;N.E.;N.E.
2024-01-01;CET;06:45;07:00;EUR/MWh;75,15;N.E.;N.E.
2024-01-01;CET;07:00;07:15;EUR/MWh;75,15;N.E.;N.E.
2024-01-01;CET;07:15;07:30;EUR/MWh;75,15;N.E.;N.E.
2024-01-01;CET;07:30;07:45;EUR/MWh;-59,16;N.E.;N.E.
2024-01-01;CET;07:45;08:00;EUR/MWh;-59,17;N.E.;N.E.
2024-01-01;CET;08:00;08:15;EUR/MWh;-58,92;N.E.;N.E.
2024-01-01;CET;08:15;08:30;EUR/MWh;-57,68;N.E.;N.E.
2024-01-01;CET;08:30;08:45;EUR/MWh;-42,74;N.E.;N.E.
2024-01-01;CET;08:45;09:00;EUR/MWh;-38,94;N.E.;N.E.
2024-01-01;CET;09:00;09:15;EUR/MWh;-20,40;N.E.;N.E.
2024-01-01;CET;09:15;09:30;EUR/MWh;N.E.;-6,92;N.E.
2024-01-01;CET;09:30;09:45;EUR/MWh;84,90;N.E.;N.E.
2024-01-01;CET;09:45;10:00;EUR/MWh;-29,21;N.E.;N.E.
2024-01-01;CET;10:00;10:15;EUR/MWh;84,35;N.E.;N.E.
2024-01-01;CET;10:15;10:30;EUR/MWh;-47,64;N.E.;N.E.
2024-01-01;CET;10:30;10:45;EUR/MWh;-60,49;N.E.;N.E.
2024-01-01;CET;10:45;11:00;EUR/MWh;-68,86;N.E.;N.E.
2024-01-01;CET;11:00;11:15;EUR/MWh;75,15;N.E.;N.E.
2024-01-01;CET;11:15;11:30;EUR/MWh;75,15;N.E.;N.E.
2024-01-01;CET;11:30;11:45;EUR/MWh;-33,41;N.E.;N.E.
2024-01-01;CET;11:45;12:00;EUR/MWh;-55,75;N.E.;N.E.
2024-01-01;CET;12:00;12:15;EUR/MWh;-38,46;N.E.;N.E.
2024-01-01;CET;12:15;12:30;EUR/MWh;-42,23;N.E.;N.E.
2024-01-01;CET;12:30;12:45;EUR/MWh;-46,02;N.E.;N.E.
2024-01-01;CET;12:45;13:00;EUR/MWh;83,07;N.E.;N.E.
2024-01-01;CET;13:00;13:15;EUR/MWh;104,64;N.E.;N.E.
2024-01-01;CET;13:15;13:30;EUR/MWh;119,00;N.E.;N.E.
2024-01-01;CET;13:30;13:45;EUR/MWh;99,71;N.E.;N.E.
2024-01-01;CET;13:45;14:00;EUR/MWh;116,19;N.E.;N.E.
2024-01-01;CET;14:00;14:15;EUR/MWh;114,32;N.E.;N.E.
2024-01-01;CET;14:15;14:30;EUR/MWh;135,09;N.E.;N.E.
2024-01-01;CET;14:30;14:45;EUR/MWh;129,08;N.E.;N.E.
2024-01-01;CET;14:45;15:00;EUR/MWh;127,84;N.E.;N.E.
2024-01-01;CET;15:00;15:15;EUR/MWh;-16,59;N.E.;N.E.
2024-01-01;CET;15:15;15:30;EUR/MWh;94,64;N.E.;N.E.
2024-01-01;CET;15:30;15:45;EUR/MWh;126,04;N.E.;N.E.
2024-01-01;CET;15:45;16:00;EUR/MWh;104,36;N.E.;N.E.
2024-01-01;CET;16:00;16:15;EUR/MWh;-15,11;N.E.;N.E.
2024-01-01;CET;16:15;16:30;EUR/MWh;-29,03;N.E.;N.E.
2024-01-01;CET;16:30;16:45;EUR/MWh;0,09;N.E.;N.E.
2024-01-01;CET;16:45;17:00;EUR/MWh;-1,90;N.E.;N.E.
2024-01-01;CET;17:00;17:15;EUR/MWh;77,29;N.E.;N.E.
2024-01-01;CET;17:15;17:30;EUR/MWh;76,34;N.E.;N.E.
2024-01-01;CET;17:30;17:45;EUR/MWh;76,34;N.E.;N.E.
2024-01-01;CET;17:45;18:00;EUR/MWh;-1,84;N.E.;N.E.
2024-01-01;CET;18:00;18:15;EUR/MWh;76,34;N.E.;N.E.
2024-01-01;CET;18:15;18:30;EUR/MWh;77,72;N.E.;N.E.
2024-01-01;CET;18:30;18:45;EUR/MWh;78,88;N.E.;N.E.
2024-01-01;CET;18:45;19:00;EUR/MWh;N.E.;85,09;N.E.
2024-01-01;CET;19:00;19:15;EUR/MWh;77,70;N.E.;N.E.
2024-01-01;CET;19:15;19:30;EUR/MWh;77,21;N.E.;N.E.
2024-01-01;CET;19:30;19:45;EUR/MWh;-29,76;N.E.;N.E.
2024-01-01;CET;19:45;20:00;EUR/MWh;-9,60;N.E.;N.E.
2024-01-01;CET;20:00;20:15;EUR/MWh;77,30;N.E.;N.E.
2024-01-01;CET;20:15;20:30;EUR/MWh;77,91;N.E.;N.E.
2024-01-01;CET;20:30;20:45;EUR/MWh;78,93;N.E.;N.E.
2024-01-01;CET;20:45;21:00;EUR/MWh;76,34;N.E.;N.E.
2024-01-01;CET;21:00;21:15;EUR/MWh;77,29;N.E.;N.E.
2024-01-01;CET;21:15;21:30;EUR/MWh;76,34;N.E.;N.E.
2024-01-01;CET;21:30;21:45;EUR/MWh;76,34;N.E.;N.E.
2024-01-01;CET;21:45;22:00;EUR/MWh;77,34;N.E.;N.E.
2024-01-01;CET;22:00;22:15;EUR/MWh;-38,97;N.E.;N.E.
2024-01-01;CET;22:15;22:30;EUR/MWh;-40,97;N.E.;N.E.
2024-01-01;CET;22:30;22:45;EUR/MWh;-49,69;N.E.;N.E.
2024-01-01;CET;22:45;23:00;EUR/MWh;77,08;N.E.;N.E.
2024-01-01;CET;23:00;23:15;EUR/MWh;78,09;N.E.;N.E.
2024-01-01;CET;23:15;23:30;EUR/MWh;78,96;N.E.;N.E.
2024-01-01;CET;23:30;23:45;EUR/MWh;76,34;N.E.;N.E.
2024-01-01;CET;23:45;00:00;EUR/MWh;76,34;N.E.;N.E.
2024-01-02;CET;00:00;00:15;EUR/MWh;-146,41;N.E.;N.E.
2024-01-02;CET;00:15;00:30;EUR/MWh;-66,81;N.E.;N.E.
2024-01-02;CET;00:30;00:45;EUR/MWh;-65,70;N.E.;N.E.
2024-01-02;CET;00:45;01:00;EUR/MWh;-65,38;N.E.;N.E.
2024-01-02;CET;01:00;01:15;EUR/MWh;-64,98;N.E.;N.E.
2024-01-02;CET;01:15;01:30;EUR/MWh;-64,22;N.E.;N.E.
2024-01-02;CET;01:30;01:45;EUR/MWh;-64,03;N.E.;N.E.
2024-01-02;CET;01:45;02:00;EUR/MWh;-26,15;N.E.;N.E.
2024-01-02;CET;02:00;02:15;EUR/MWh;90,82;N.E.;N.E.
2024-01-02;CET;02:15;02:30;EUR/MWh;88,34;N.E.;N.E.
2024-01-02;CET;02:30;02:45;EUR/MWh;92,46;N.E.;N.E.
2024-01-02;CET;02:45;03:00;EUR/MWh;85,14;N.E.;N.E.
2024-01-02;CET;03:00;03:15;EUR/MWh;-56,59;N.E.;N.E.
2024-01-02;CET;03:15;03:30;EUR/MWh;-61,61;N.E.;N.E.
2024-01-02;CET;03:30;03:45;EUR/MWh;-60,88;N.E.;N.E.
2024-01-02;CET;03:45;04:00;EUR/MWh;-60,56;N.E.;N.E.
2024-01-02;CET;04:00;04:15;EUR/MWh;-48,65;N.E.;N.E.
2024-01-02;CET;04:15;04:30;EUR/MWh;-54,03;N.E.;N.E.
