Datum von;(Uhrzeit) von;Zeitzone;(Uhrzeit) bis;Zeitzone;ID AEP in €/MWh
01.01.2024;00:00;CET;00:15;CET;5,190
01.01.2024;00:15;CET;00:30;CET;30,360
01.01.2024;00:30;CET;00:45;CET;-2,890
01.01.2024;00:45;CET;01:00;CET;-0,330
01.01.2024;01:00;CET;01:15;CET;-3,640
01.01.2024;01:15;CET;01:30;CET;-3,490
01.01.2024;01:30;CET;01:45;CET;0,040
01.01.2024;01:45;CET;02:00;CET;-0,490
01.01.2024;02:00;CET;02:15;CET;11,780
01.01.2024;02:15;CET;02:30;CET;5,460
01.01.2024;02:30;CET;02:45;CET;3,920
01.01.2024;02:45;CET;03:00;CET;1,560
01.01.2024;03:00;CET;03:15;CET;11,240
01.01.2024;03:15;CET;03:30;CET;6,980
01.01.2024;03:30;CET;03:45;CET;9,020
01.01.2024;03:45;CET;04:00;CET;12,090
01.01.2024;04:00;CET;04:15;CET;26,150
01.01.2024;04:15;CET;04:30;CET;18,460
01.01.2024;04:30;CET;04:45;CET;12,080
01.01.2024;04:45;CET;05:00;CET;1,170
01.01.2024;05:00;CET;05:15;CET;5,230
01.01.2024;05:15;CET;05:30;CET;8,440
01.01.2024;05:30;CET;05:45;CET;44,380
01.01.2024;05:45;CET;06:00;CET;30,610
01.01.2024;06:00;CET;06:15;CET;-8,300
01.01.2024;06:15;CET;06:30;CET;0,860
01.01.2024;06:30;CET;06:45;CET;5,390
01.01.2024;06:45;CET;07:00;CET;13,080
01.01.2024;07:00;CET;07:15;CET;2,680
01.01.2024;07:15;CET;07:30;CET;31,480
01.01.2024;07:30;CET;07:45;CET;30,790
01.01.2024;07:45;CET;08:00;CET;36,200
01.01.2024;08:00;CET;08:15;CET;4,980
01.01.2024;08:15;CET;08:30;CET;-11,300
01.01.2024;08:30;CET;08:45;CET;-4,510
01.01.2024;08:45;CET;09:00;CET;8,200
01.01.2024;09:00;CET;09:15;CET;1,730
01.01.2024;09:15;CET;09:30;CET;-6,140
01.01.2024;09:30;CET;09:45;CET;-8,680
01.01.2024;09:45;CET;10:00;CET;-11,020
01.01.2024;10:00;CET;10:15;CET;1,920
01.01.2024;10:15;CET;10:30;CET;6,390
01.01.2024;10:30;CET;10:45;CET;5,600
01.01.2024;10:45;CET;11:00;CET;-23,630
01.01.2024;11:00;CET;11:15;CET;-2,420
01.01.2024;11:15;CET;11:30;CET;-3,870
01.01.2024;11:30;CET;11:45;CET;3,220
01.01.2024;11:45;CET;12:00;CET;4,610
01.01.2024;12:00;CET;12:15;CET;-2,380
01.01.2024;12:15;CET;12:30;CET;14,810
01.01.2024;12:30;CET;12:45;CET;0,300
01.01.2024;12:45;CET;13:00;CET;-4,150
01.01.2024;13:00;CET;13:15;CET;-19,090
01.01.2024;13:15;CET;13:30;CET;-4,970
01.01.2024;13:30;CET;13:45;CET;0,000
01.01.2024;13:45;CET;14:00;CET;8,700
01.01.2024;14:00;CET;14:15;CET;15,150
01.01.2024;14:15;CET;14:30;CET;61,880
01.01.2024;14:30;CET;14:45;CET;78,500
01.01.2024;14:45;CET;15:00;CET;82,810
01.01.2024;15:00;CET;15:15;CET;51,980
01.01.2024;15:15;CET;15:30;CET;48,610
01.01.2024;15:30;CET;15:45;CET;52,290
01.01.2024;15:45;CET;16:00;CET;72,400
01.01.2024;16:00;CET;16:15;CET;57,080
01.01.2024;16:15;CET;16:30;CET;65,630
01.01.2024;16:30;CET;16:45;CET;44,880
01.01.2024;16:45;CET;17:00;CET;34,560
01.01.2024;17:00;CET;17:15;CET;29,670
01.01.2024;17:15;CET;17:30;CET;43,570
01.01.2024;17:30;CET;17:45;CET;49,770
01.01.2024;17:45;CET;18:00;CET;48,860
01.01.2024;18:00;CET;18:15;CET;51,460
01.01.2024;18:15;CET;18:30;CET;53,440
01.01.2024;18:30;CET;18:45;CET;62,920
01.01.2024;18:45;CET;19:00;CET;68,070
01.01.2024;19:00;CET;19:15;CET;63,170
01.01.2024;19:15;CET;19:30;CET;54,180
01.01.2024;19:30;CET;19:45;CET;32,520
01.01.2024;19:45;CET;20:00;CET;20,570
01.01.2024;20:00;CET;20:15;CET;49,800
01.01.2024;20:15;CET;20:30;CET;43,230
01.01.2024;20:30;CET;20:45;CET;27,750
01.01.2024;20:45;CET;21:00;CET;25,460
01.01.2024;21:00;CET;21:15;CET;57,900
01.01.2024;21:15;CET;21:30;CET;54,630
01.01.2024;21:30;CET;21:45;CET;51,620
01.01.2024;21:45;CET;22:00;CET;35,270
01.01.2024;22:00;CET;22:15;CET;39,030
01.01.2024;22:15;CET;22:30;CET;25,560
01.01.2024;22:30;CET;22:45;CET;5,140
01.01.2024;22:45;CET;23:00;CET;1,960
01.01.2024;23:00;CET;23:15;CET;22,300
01.01.2024;23:15;CET;23:30;CET;12,170
01.01.2024;23:30;CET;23:45;CET;5,570
01.01.2024;23:45;CET;00:00;CET;14,100
02.01.2024;00:00;CET;00:15;CET;37,440
02.01.2024;00:15;CET;00:30;CET;23,770
02.01.2024;00:30;CET;00:45;CET;8,760
02.01.2024;00:45;CET;01:00;CET;17,780
02.01.2024;01:00;CET;01:15;CET;10,440
02.01.2024;01:15;CET;01:30;CET;7,980
02.01.2024;01:30;CET;01:45;CET;13,310
02.01.2024;01:45;CET;02:00;CET;2,130
02.01.2024;02:00;CET;02:15;CET;15,860
02.01.2024;02:15;CET;02:30;CET;1,140
02.01.2024;02:30;CET;02:45;CET;22,590
02.01.2024;02:45;CET;03:00;CET;34,440
02.01.2024;03:00;CET;03:15;CET;53,610
02.01.2024;03:15;CET;03:30;CET;41,500
02.01.2024;03:30;CET;03:45;CET;11,310
02.01.2024;03:45;CET;04:00;CET;-11,960
02.01.2024;04:00;CET;04:15;CET;5,560
02.01.2024;04:15;CET;04:30;CET;-0,540
02.01.2024;04:30;CET;04:45;CET;5,960
02.01.2024;04:45;CET;05:00;CET;-11,730
02.01.2024;05:00;CET;05:15;CET;-2,920
02.01.2024;05:15;CET;05:30;CET;-12,290
02.01.2024;05:30;CET;05:45;CET;-0,220
02.01.2024;05:45;CET;06:00;CET;15,380
02.01.2024;06:00;CET;06:15;CET;10,680
02.01.2024;06:15;CET;06:30;CET;31,260
02.01.2024;06:30;CET;06:45;CET;40,980
02.01.2024;06:45;CET;07:00;CET;11,280
02.01.2024;07:00;CET;07:15;CET;-10,470
02.01.2024;07:15;CET;07:30;CET;-6,460
02.01.2024;07:30;CET;07:45;CET;15,720
02.01.2024;07:45;CET;08:00;CET;31,890
02.01.2024;08:00;CET;08:15;CET;67,920
02.01.2024;08:15;CET;08:30;CET;79,140
02.01.2024;08:30;CET;08:45;CET;78,930
02.01.2024;08:45;CET;09:00;CET;89,290
02.01.2024;09:00;CET;09:15;CET;87,720
02.01.2024;09:15;CET;09:30;CET;122,710
02.01.2024;09:30;CET;09:45;CET;123,780
02.01.2024;09:45;CET;10:00;CET;79,330
02.01.2024;10:00;CET;10:15;CET;65,120
02.01.2024;10:15;CET;10:30;CET;71,000
02.01.2024;10:30;CET;10:45;CET;66,190
02.01.2024;10:45;CET;11:00;CET;31,900
02.01.2024;11:00;CET;11:15;CET;42,600
02.01.2024;11:15;CET;11:30;CET;76,350
02.01.2024;11:30;CET;11:45;CET;103,080
02.01.2024;11:45;CET;12:00;CET;113,390
02.01.2024;12:00;CET;12:15;CET;119,810
02.01.2024;12:15;CET;12:30;CET;108,440
02.01.2024;12:30;CET;12:45;CET;96,550
02.01.2024;12:45;CET;13:00;CET;77,500
02.01.2024;13:00;CET;13:15;CET;44,250
02.01.2024;13:15;CET;13:30;CET;55,650
02.01.2024;13:30;CET;13:45;CET;69,710
02.01.2024;13:45;CET;14:00;CET;83,380
02.01.2024;14:00;CET;14:15;CET;79,740
02.01.2024;14:15;CET;14:30;CET;79,510
02.01.2024;14:30;CET;14:45;CET;78,390
02.01.2024;14:45;CET;15:00;CET;74,070
02.01.2024;15:00;CET;15:15;CET;81,610
02.01.2024;15:15;CET;15:30;CET;71,110
02.01.2024;15:30;CET;15:45;CET;86,340
02.01.2024;15:45;CET;16:00;CET;96,950
02.01.2024;16:00;CET;16:15;CET;94,600
02.01.2024;16:15;CET;16:30;CET;69,170
02.01.2024;16:30;CET;16:45;CET;68,670
02.01.2024;16:45;CET;17:00;CET;84,100
02.01.2024;17:00;CET;17:15;CET;78,620
02.01.2024;17:15;CET;17:30;CET;72,320
02.01.2024;17:30;CET;17:45;CET;59,880
02.01.2024;17:45;CET;18:00;CET;53,190
02.01.2024;18:00;CET;18:15;CET;75,240
02.01.2024;18:15;CET;18:30;CET;73,070
02.01.2024;18:30;CET;18:45;CET;69,330
02.01.2024;18:45;CET;19:00;CET;50,960
02.01.2024;19:00;CET;19:15;CET;51,880
02.01.2024;19:15;CET;19:30;CET;39,740
02.01.2024;19:30;CET;19:45;CET;50,860
02.01.2024;19:45;CET;20:00;CET;18,440
02.01.2024;20:00;CET;20:15;CET;40,080
02.01.2024;20:15;CET;20:30;CET;21,030
02.01.2024;20:30;CET;20:45;CET;23,090
